ID	Fare	Source	Destination	Status	Departure	Arrival	Type	Fee	Experts	Flyer
28882	$2,473	San Francisco, SFO	Paris, CDG	Closed	26-Jun-13	(multi-city)	Multi-City	Finder's Fee $69	2 Experts	Mith.puck
28906	$1,462	Regina, YQR	Bangkok, BKK	Closed	22-Oct-12	(multi-city)	Multi-City	Finder's Fee $39	2 Experts	Miranda.minassia
28910	$1,756	Brisbane, BNE	Rio De Janeiro, GIG	Closed	05-Feb-13	08-Mar-13	Round-Trip	Finder's Fee $39	6 Experts	Rjelledge
28913	$1,974	Tokoname Nagoya, NGO	Boston, BOS	Closed	29-Sep-12	(multi-city)	Multi-City	Finder's Fee $100	3 Experts	Patio11
28916	$1,132	Brisbane, BNE	Sacramento, SMF	Closed	03-Oct-12	(one-way)	One-Way	Finder's Fee $34	13 Experts	Mhartberg
28919	$1,307	Anchorage, ANC	Amsterdam, AMS	Closed	08-Nov-12	01-Dec-12	Round-Trip	Finder's Fee $49	4 Experts	Tyler0
28923	$2,430	Melbourne, ALL	Tel Aviv, TLV	Closed	01-Oct-12	(one-way)	One-Way	Finder's Fee $49	2 Experts	Aidan
28926	$2,100	Wellington, WLG	Charleston, CRW	Closed	12-Jan-13	(one-way)	One-Way	Finder's Fee $39	9 Experts	Kowhai
28962	$562	Zurich, ZRH	Palma De Mallorca, PMI	Closed	05-Oct-12	(one-way)	One-Way	Finder's Fee $80	3 Experts	Oppermann
28964	$1,157	Porto Alegre, POA	Miami, MIA	Closed	05-Jan-13	(one-way)	One-Way	Finder's Fee $29	3 Experts	Carolinacauduro
28968	$909	Toronto, ALL	Las Vegas, LAS	Closed	22-Dec-12	(one-way)	One-Way	Finder's Fee $49	2 Experts	V_wonka
28975	$891	San Diego, SAN	London, LON	Closed	12-Oct-12	19-Oct-12	Round-Trip	Finder's Fee $49	3 Experts	Gciii
28992	$4,671	Paris, ALL	Rio De Janeiro, ALL	Closed	06-Feb-13	(multi-city)	Multi-City	Finder's Fee $69	4 Experts	Cecile.rault
28995	$1,273	San Francisco, SFO	Antananarivo, TNR	Closed	22-Dec-12	01-Jan-13	Round-Trip	Finder's Fee $39	3 Experts	Jawolter
28996	$1,238	Tokyo, TYO	Brussels, ALL	Closed	29-Dec-12	(one-way)	One-Way	Finder's Fee $44	5 Experts	Ariakekosaka
29003	$1,437	Toronto, YYZ	Melbourne, ALL	Closed	25-Oct-12	(one-way)	One-Way	Finder's Fee $39	5 Experts	Jaimeleewebster
29004	$1,761	Salt Lake City, SLC	Tokyo, NRT	Closed	04-Nov-12	(multi-city)	Multi-City	Finder's Fee $64	3 Experts	Lswank
29010	$947	Toronto, YYZ	Rome, FCO	Closed	23-Oct-12	25-Oct-12	Round-Trip	Finder's Fee $44	5 Experts	HorizonXP
29017	$994	San Francisco, SFO	Barcelona, BCN	Closed	21-Dec-12	(one-way)	One-Way	Finder's Fee $39	3 Experts	Oriolsabate
29025	$656	Chicago, ALL	London, LON	Closed	23-Jan-13	28-Jan-13	Round-Trip	Finder's Fee $39	8 Experts	Helena.Gamvros
29032	$849	Christchurch, CHC	Denver, DEN	Closed	28-Oct-12	(one-way)	One-Way	Finder's Fee $34	3 Experts	S90
29035	$2,345	Melbourne, MEL	Montego Bay, MBJ	Closed	10-Dec-12	16-Dec-12	Round-Trip	Finder's Fee $39	5 Experts	Begglest
29039	$1,652	San Francisco, SFO	Coimbatore, CJB	Closed	09-Nov-12	(one-way)	One-Way	Finder's Fee $39	2 Experts	Sanjayprabhu
29041	$153	Melbourne, MEL	Hong Kong, HKG	Closed	15-Feb-13	(one-way)	One-Way	Finder's Fee $49	2 Experts	Al.jones
29052	$926	Melbourne, ALL	San Francisco, SFO	Closed	27-Dec-12	(one-way)	One-Way	Finder's Fee $34	5 Experts	Thomasbattersby
29059	$1,015	Melbourne, ALL	Las Vegas, LAS	Closed	02-Feb-13	(one-way)	One-Way	Finder's Fee $29	4 Experts	Michaelcandiloro
29065	$1,765	Guangzhou, CAN	Baltimore, BWI	Closed	29-Sep-12	(multi-city)	Multi-City	Finder's Fee $54	2 Experts	Lborthwein
29067	$233	Bristol, BRS	Barcelona, BCN	Closed	05-Oct-12	07-Oct-12	Round-Trip	Finder's Fee $29	3 Experts	Obiwan
29072	$891	Hong Kong, HKG	Madrid, MAD	Closed	03-Oct-12	09-Oct-12	Round-Trip	Finder's Fee $39	3 Experts	Angelica
29073	$1,700	London, LON	Christchurch, CHC	Closed	16-Dec-12	(one-way)	One-Way	Finder's Fee $54	5 Experts	Bizzmac
29078	$2,311	Melbourne, MEL	Mexico City, MEX	Closed	17-Dec-12	(one-way)	One-Way	Finder's Fee $44	3 Experts	Planejane
29088	$1,850	Dallas, ALL	Sydney, SYD	Closed	27-Dec-12	(one-way)	One-Way	Finder's Fee $44	4 Experts	Lrsr2bn06
29095	$268	Guayaquil, GYE	Lima, LIM	Closed	09-Nov-12	(one-way)	One-Way	Finder's Fee $34	3 Experts	Mervic.nina
29103	$930	San Francisco, SFO	Sydney, SYD	Closed	29-Sep-12	(one-way)	One-Way	Finder's Fee $54	2 Experts	Sam7753
29104	$1,157	Baltimore, BWI	Toronto, ALL	Closed	22-Dec-12	(multi-city)	Multi-City	Finder's Fee $60	1 Expert	J.ganitkevitch
29106	$141	Indianapolis, IND	Detroit, DTW	Closed	20-Nov-12	(one-way)	One-Way	Finder's Fee $39	3 Experts	Ivanwu
29124	$836	Santiago, SCL	London, LON	Closed	12-Oct-12	(one-way)	One-Way	Finder's Fee $34	1 Expert	George_urdea
